No.,Object name,Material,Stained,Surface properties
117,White/red stone,stone,pluriform,shiny
118,Pinokio,wood,pluriform,shiny
119,White cloth,cloth,uniform,
120,foam,foam,uniform,coarse
121,blue book,paper,pluriform,
122,silvo spicebox,"plastic, paper",pluriform,shiny
123,sun perfume,"metal, glass",pluriform,
124,pyralvex,"paper,           metals, plastic",pluriform,composite
125,white cup,glass,uniform,
126,chicken spices,plastic,pluriform,
127,yellow can,glass,pluriform,
128,basilica box,"plastic, paper",pluriform,
129,blue/metal watch,"metal, glass",pluriform,composite
130,orange ring,plastic,uniform,shiny
131,perfume,"glass, metal",pluriform,shiny
132,yellow cat,wood,pluriform,smooth
133,curry spices,plastic,pluriform,
134,green object,plastic,uniform,
135,toy keys,plastic,pluriform,
136,purple car,"metal, plastic",pluriform,composite
137,green stick,plastic,pluriform,
138,blue car,plastic,pluriform,
139,yellow/blue playmobile,plastic,pluriform,
140,penguin,"cloth, plastic",pluriform,composite
141,nail polisher,"plastic, glass, paper",pluriform,"composite, shiny"
142,blue/red turtle,plastic,pluriform,shiny
143,green/yellow stone,plastic,pluriform,
144,green/red box,metal,pluriform,shiny
145,red/blue playmobile,plastic,pluriform,
146,pill box,"glass, plastic, paper",pluriform,shiny
147,brown wallet,"plastic, cloth",pluriform,composite
148,red car,"metal, plastic",uniform,composite
149,yellow lighter,"plastic, metal",pluriform,composite
150,red/white jojo,"rope, plastic",pluriform,composite
151,fire truck,"metal, plastic",pluriform,composite
152,red/yellow cross,plastic,pluriform,
153,green cup,plastic,uniform,
154,police truck,"metal, plastic",pluriform,composite
155,badminton shuttle,"plastic, rubber",pluriform,composite
156,alarm clock,"metal, glass",pluriform,composite
157,winny the pooh cup,plastic,pluriform,
158,green-metallic car,"metal, plastic",uniform,composite
159,horse,plastic,pluriform,shiny
160,white car,"metal, plastic",uniform,composite
161,yellow teapot,glass,uniform,shiny
162,gold/red men,plastic,pluriform,shiny
163,keys blue hanger,"metal, plastic",pluriform,"composite, shiny"
164,pink ball,plastic,pluriform,caurse
165,globe,plastic,pluriform,
166,pepper can,metal,uniform,shiny
167,red car,"metal, plastic",pluriform,"composite, shiny"
168,glass tray,plastic,pluriform,shiny
169,turkey,plastic,pluriform,
170,tree,plastic,uniform,
171,shell,shell,pluriform,
172,shampoo,"plastic, paper",pluriform,"composite, shiny"
173,plug,"plastic, metal",uniform,composite
174,white christmas bear,cloth,pluriform,
175,eland,cloth,uniform,
176,red light,plastic,uniform,ribbed
177,pink ring,plastic,pluriform,shiny
178,white teeth,"plastic, metal",uniform,composite
179,tape,"paper, plastic",uniform,composite
180,radio,"metal, plastic",uniform,"composite, shiny"
181,wooden square,wood,uniform,smooth
182,wooden triangle,wood,uniform,smooth
183,half red circle,wood,uniform,"smooth, shiny"
184,white cotton,cotton,uniform,striped
185,teeth wire,plastic,pluriform,shiny
186,Coin in velvet box,"Velvet, metal",uniform,shiny
187,toothpaste,plastic,pluriform,
188,yellow train,plastic,uniform,shiny
189,brown ashtray,wood,uniform,
190,shell 3,shell,pluriform,
191,clothes peg,"plastic, metal",uniform,composite
192,green truck,"metal, plastic",uniform,"composice, shiny"
193,green turtle,plastic,uniform,shiny
194,Spice box,plastic,pluriform,shiny
195,Russian doll 1,wood,pluriform,shiny
196,Russian doll 2,wood,pluriform,shiny
197,Small russian doll,wood,pluriform,shiny
198,Smalles russian doll,wood,pluriform,shiny
199,Three russian dolls,wood,pluriform,shiny
200,Red/yellow block,metal,pluriform,
201,Frog,pottery,pluriform,
202,pig,cloth,uniform,
203,mouse,cloth,pluriform,
204,small globe,"metal, wood",pluriform,"composite, smooth"
205,landscape pot,pottery,pluriform,shiny
206,beer glass,glass,pluriform,shiny
207,white ashtray,pottery,pluriform,
208,alarm clock,"metal, glass",pluriform,"shiny, composite"
209,dog,glass,pluriform,shiny
210,calender,plastic,pluriform,
211,froggame,plastic,pluriform,
212,batteries,"metal, plastic",pluriform,"shiny, composite"
213,pritt glue,plastic,pluriform,
214,orange book,"plastic, paper",uniform,composite
215,staple machine,metal,pluriform,shiny
216,yellow/black tape box,paper,pluriform,
217,niceday box,paper,pluriform,
218,plates,plastic,pluriform,striped
219,pickwick teabox,paper,pluriform,shiny
220,toy rings,wood,pluriform,smooth
221,sitting frog,pottery,pluriform,shiny
222,top,plastic,pluriform,
223,floppies box,paper,pluriform,
224,round box,plastic,uniform,
225,pink shell,shell,pluriform,caorse
226,shell 3,shell,pluriform,saurse
227,shell with holes,shell,pluriform,
228,shell 4,shell,pluriform,striped
229,shell 5,shell,pluriform,caorse
230,small stone,stone,,caurse
231,shell 6,shell,pluriform,shiny
232,red ring,plastic,uniform,
233,toy corn,plastic,uniform,ribbed
234,red/white men,plastic,pluriform,
235,green box,plastic,uniform,
236,yellow round box,plastic,uniform,
237,pocket knife,metal,pluriform,
238,ice bear,pottery,pluriform,shiny
239,teacup,pottery,pluriform,shiny
240,camera,"metal, glass",pluriform,"composite, shiny"
241,powerball,plastic,pluriform,shiny
242,black object wire,plastic,pluriform,
243,white/yellow flowers,flower,pluriform,
244,yellow flower,flower,uniform,
245,cactus,"plastic, flower",pluriform,composite
246,blue/white pot,pottery,pluriform,shiny
247,blue/white glass object,pottery,pluriform,shiny
248,light   brown   christmas bear,cloth,pluriform,
249,red square box,plastic,uniform,
250,red round box,plastic,uniform,shiny
251,yellow bridge,wood,uniform,shiny
252,red head,plastic,uniform,shiny
253,sheep,plastic,pluriform,
254,carrot,plastic,uniform,
255,"small, red, round box",plastic,uniform,shiny
256,red thing,rubber,uniform,shiny
257,fake lemon1,plastic,uniform,caorse
258,"white, round box",metal,pluriform,
259,"white, decorated cup",pottery,pluriform,shiny
260,weight,copper,uniform,shiny
261,pill box,plastic,pluriform,shiny
262,"white, decorated cup 2",pottery,pluriform,shiny
263,picture frame,plastic,pluriform,caorse
264,droste box,metal,pluriform,shiny
265,light weight,copper,uniform,shiny
266,white/red ball,plastic,pluriform,shiny
267,nail brush,"plastic, rope",uniform,"shiny, composite"
268,yellow/green sponge,sponge,pluriform,caorse
269,silver box,metal,uniform,shiny
270,yellow lid,plastic,uniform,shiny
271,yellow bowl,pottery,pluriform,shiny
272,brown/striped stick,wood,pluriform,
273,lemon2,fruit,pluriform,
274,chicken candle,candle,pluriform,shiny
275,beige wire,"rope, plastic",uniform,composite
276,bathing lady candle,candle,pluriform,
277,selderie jar,"glass, paper, metal",pluriform,composite
278,brown brush,"wood, rope",uniform,"caorse, composite"
279,diele box,metal,pluriform,shiny
280,orange bowl,glass,pluriform,shiny
281,garlic 1,vegetable,pluriform,
282,driving cow,glass,pluriform,shiny
283,red opener,plastic,uniform,shiny
284,tiger,"plastic, glass",pluriform,"shiny, composite"
285,blue/white house1,pottery,pluriform,shiny
286,nail brush 2,"plastic, rope",uniform,shiny
287,red onion1,vegetable,uniform,"composite, shiny"
288,green chicken candle,candle,pluriform,shiny
289,sambal oelek,"glass, metal, paper",pluriform,"composite, shiny"
290,lion king cup,pottery,pluriform,shiny
291,tennis ball,cloth,uniform,
292,wooden circle,wood,uniform,caorse
293,hallogeen light,"plastic, glass, metal",pluriform,"composite, shiny"
294,white       thing       with handles,plastic,uniform,shiny
295,nivea deodorant,"glass, plastic",pluriform,shiny
296,new wave gel,plastic,pluriform,
297,sportlife,paper,pluriform,
298,white/blue house 2,pottery,pluriform,
299,cruesli,wood,pluriform,
300,metal elephant,metal,uniform,shiny
301,three bottles,paper,pluriform,shiny
302,dune perfume,paper,pluriform,shiny
303,fahrheit perfume,paper,pluriform,
304,yellow elephant,plastic,pluriform,shiny
305,windmill,stone,pluriform,
306,blue/black bulb box,paper,pluriform,
307,blue/white windmill,pottery,pluriform,shiny
308,"red, chinese bowl",pottery,pluriform,shiny
309,purple flower,cloth,uniform,shiny
310,paprika powder box,metal,pluriform,shiny
311,green powder box,metal,pluriform,
312,pirate box,metal,pluriform,shiny
313,sitting doll,"pottery, cloth, rope",pluriform,composite
314,"wooden, round box",wood,pluriform,
315,russian dictionary,paper,pluriform,smooth
316,lipstick box,"plastic, metal",uniforma,"composite, shiny"
317,dolphin,"plastic, metal",uniform,"composite, shiny"
318,blue spoon,plastic,uniform,"composite, shiny"
319,bottle eyedrops,"plastic, paper",pluriform,"composite, shiny"
320,square toy,cloth,pluriform,
321,three tower box,paper,pluriform,
322,cancer book,paper,pluriform,shiny
323,yellow kleenex tissues,plastic,pluriform,
324,red pepper,vegetable,pluriform,composite
325,purple candy,plastic,pluriform,shiny
326,red bottle,paper,pluriform,
327,chocolate bar,paper,pluriform,
328,Metal open container,Metal,Uniform,shiny
329,Shell 7,shell,pluriform,
330,Blue/white dog,pottery,pluriform,shiny
331,Australian glass,glass,pluriform,shiny
332,Flower pot,pottery,pluriform,shiny
333,White/brown pig,pottery,pluriform,shiny
334,Turtle egg,pottery,pluriform,
335,Christmas ball,"pottery, cloth, metal",pluriform,"composite, shiny"
336,Green perfume,"pottery,         plastic, metal",uniform,"composite, shiny"
337,Heineken box,plastic,pluriform,
338,Brown jar,"plastic, paper, glass",pluriform,"composite, shiny"
339,Blue/red car,plastic,pluriform,
340,Pink doll,plastic,pluriform,
341,Yellow piece,plastic,uniform,
342,Lying women,"wood, metal",pluriform,
343,Red/white thing,plastic,pluriform,
344,Yellow thing 2,plastic,uniform,
345,Salt 2,plastic,pluriform,shiny
346,Picture frame baby,"metal, plastic",pluriform,"composite, shiny"
347,Picture gertjan,"paper, plastic",pluriform,composite
348,White brush,"plastic, rope",uniform,composite
349,Doll in cup,plastic,pluriform,
350,Blue girls shoe,plastic,uniform,shiny
351,Glass sticks,"wood, plastic, glass",pluriform,"composite, shiny"
352,Red egg,food,pluriform,
353,Yellow bag,cloth,pluriform,
354,Yellow dug,plastic,pluriform,
355,Fish decoration,pottery,pluriform,shiny
356,red hart,glass,uniform,shiny
357,cow,"plastic, metal",pluriform,composite
358,Pin remover,"metal, plastic",uniform,"shiny, composite"
359,shell 8,shell,pluriform,
360,shell 9,shell,pluriform,
361,green wire,"rope, wood",uniform,composite
362,thank you book,paper,pluriform,
363,eaten apple,wood,pluriform,
364,wooden toy,wood,uniform,shiny
365,pig,wood,uniform,
366,Christmas snow bowl,plastic,pluriform,shiny
367,wooden book,wood,uniform,
368,cow kitchen clock,plastic,pluriform,
369,bird egg,pottery,pluriform,
370,wooden frog,wood,uniform,smooth
371,yellow sticks ball,plastic,pluriform,
372,green sticks ball,plastic,uniform,
373,wooden open hand,wood,uniform,smooth
374,tipp ex,plastic,pluriform,shiny
375,yellow/blue open ball,plastic,pluriform,shiny
376,@,metal,uniform,shiny
377,white wire,rope,uniform,
378,orange alarm,"glass, plastic",pluriform,"composite,"
379,green stone,plastic,uniform,
380,red pig,plastic,uniform,shiny
381,pink angel,pottery,pluriform,"shiny, coarse"
382,red pig (reverse),plastic,uniform,shiny
383,white tape,"plastic, paper",uniform,composite
384,blue tipp exx,plastic,pluriform,shiny
385,chinese jar,"plastic, paper",pluriform,"composite, shiny"
386,photo film,plastic,pluriform,
387,red knijper,plastic,pluriform,shiny
388,yellow wire,rope,uniform,
389,nail polisher 2,"glass, plastic",pluriform,shiny
390,playmobile men,plastic,pluriform,shiny
391,party flute,"plastic, paper",pluriform,"composite, shiny"
392,white hook,plastic,uniform,
393,orange/blue party flute,plastic,pluriform,
394,white/red box,plastic,pluriform,
395,UvA opener,plastic,pluriform,partly ribbed
396,Blue/white stick,plastic,pluriform,
397,Red battery,metal,pluriform,shiny
398,Green battery,metal,pluriform,shiny
399,….,,,
400,Wooden massage,wood,pluriform,"shiny, smooth"
401,Tealight 2,"metal, candle",uniform,composite
402,Light blue box,plastic,uniform,smooth
403,Blue/purple mouse,"plastic, metal",pluriform,"shiny, composite"
404,Grey cat,pottery,pluriform,coarse
405,Hole maker,metal,pluriform,shiny
406,Snowman,candle,pluriform,smooth
407,Santa claus,candle,pluriform,smooth
408,dice,plastic,pluriform,
409,white sheep,"wool, plastic",pluriform,"rough, composite"
410,yellow diving bear,"plastic, cloth",pluriform,composite
411,yellow airplane,metal,uniform,"smooth, shiny"
412,"white, plastic cup",plastic,uniform,
413,red sitting bear,cloth,pluriform,
414,"brown, plastic cup",plastic,uniform,
415,walking ball,"metal, plastic",uniform,"composite, coarse"
416,"standing, red book","plastic, paper",pluriform,composite
417,wooden clogs,wood,uniform,smooth
418,stone,stone,pluriform,smooth
419,sand….,plastic,pluriform,
420,Round can,metal,pluriform,
421,Dart arrow,"plastic, metal",uniform,"composite, shiny"
422,Yellow jojo,"wire, plastic",uniform,"composite, shiny"
423,Lying dog,pottery,pluriform,smooth
424,Mixed spices,plastic,pluriform,
425,Brown brush,"wood, rope",uniform,composite
426,Bus can,metal,pluriform,shiny
427,Glass pig,pottery,uniform,shiny
428,Yellow nail brush,"plastic, rope",uniform,"composite, shiny"
429,Yellow surprise box,plastic,uniform,
430,Brown bandage box,metal,pluriform,shiny
431,Green bandage box,metal,pluriform,shiny
432,White tape,"metal, paper",pluriform,shiny
433,Blue bandage box,metal,pluriform,shiny
434,jam jar,"glass, metal",pluriform,composite
435,white marker,plastic,uniform,
436,yellow marker,plastic,pluriform,
437,four vikings,plastic,pluriform,rough
438,green soap box,plastic,pluriform,
439,green  marker,plastic,pluriform,
440,sitting bear,"wood, cloth",pluriform,composite
441,…..,,,
442,old green book,paper,pluriform,
443,kangaroo,"cloth, plastic",plurifom,composite
444,white tennisball,cloth,pluriform,
445,bike repair,"elastic, metal",pluriform,composite
446,orange,fruit,uniform,
447,Fievel mouse cup,pottery,pluriform,shiny
448,Cigarette package,paper,pluriform,
449,Lighter,"plastic, metal",pluriform,"composite, shiny"
450,Big smurf,plastic,pluriform,shiny
451,Pass photo,paper,pluriform,
452,pinbox,"plastic, metal",pluriform,composite
453,white hole maker,metal,uniform,shiny
454,liga snack,plastic,pluriform,
455,coca-cola,metal,pluriform,shiny
456,pulling on beach,paper,pluriform,
457,computer mouse,"plastic, metal",pluriform,"composite, shiny"
458,dark green paper,paper,pluriform,
459,pink pig,plastic,uniform,shiny
460,calculator,plastic,pluriform,shiny
461,toilet paper,paper,uniform,
462,red toy ring,plastic,uniform,shiny
463,tooth paste,plastic,pluriform,
464,heida yoghurt,plastic,pluriform,
465,yellow pills,"plastic, metal",uniform,composite
466,blue marker,"metal, plastic",pluriform,composite
467,nice day box,paper,pluriform,
468,yellow post-it,paper,uniform,
469,white pills,plastic,uniform,
470,orange spoon,"metal, plastic",uniform,"composite, shiny"
471,glitter hanger,"plastic, metal",pluriform,"composite, shiny"
472,small post-it,paper,uniform,
473,euro-shopper tissues,plastic,pluriform,
474,lying salt,plastic,pluriform,shiny
475,red marker,plastic,pluriform,
476,green marker,plastic,plurifom,
477,white marker,"metal, plastic",pluriform,"composite, shiny"
478,colorful necless,stone,pluriform,
479,chocolate donut,food,pluriform,
480,eaten chocolate donut,food,pluriform,
481,small gel,plastic,pluriform,shiny
482,blue car,plastic,pluriform,shiny
483,mp3,"metal, plastic",pluriform,"composite, shiny"
484,scotch tape,paper,pluriform,
485,candy,paper,pluriform,shiny
486,computer plug,"plastic, metal",uniform,"composite, shiny"
487,white jar,plastic,pluriform,
488,invisible tape,plastic,pluriform,shiny
489,brown/white house,pottery,pluriform,
490,prick,plastic,pluriform,shiny
491,brown vase,pottery,uniform,
492,green safe,"plastic, metal",uniform,shiny
493,wooden box,wood,pluriform,
494,empty toilet paper,paper,pluriform,
495,big blue marker,plastic,pluriform,shiny
496,….,,,
497,White sprayer,plastic,uniform,
498,White/red sling,"metal, plastic",pluriform,"composite, shiny"
499,White object,plastic,uniform,shiny
500,Purple object,plastic,uniform,shiny
501,…..,,,
502,white screw,plastic,uniform,shiny
503,green parrot,pottery,pluriform,"smooth, shiny"
504,broken red toothbrush,"plastic, wire",uniform,"composite, shiny"
505,yellow/green sticks,plastic,pluriform,
506,yellow scissors,"plasatic, metal",uniform,"composite, shiny"
507,yellow cup,pottery,pluriform,shiny
508,big brown pot,pottery,uniform,
509,yellow marker,plastic,pluriform,
510,tomato can,"metal, paper",pluriform,"shiny, composite"
511,philips box,paper,pluriform,
512,empty tube,plastic,pluriform,shiny
513,….,,,
514,blue decorated cup,plastic,pluriform,
515,red toy,plastic,uniform,shiny
516,dark red box,metal,pluriform,shiny
517,salmon can,"metal, paper",pluriform,"shiny, composite"
518,red reflecting light,plastic,pluriform,
519,milkyway bar,plastic,pluriform,shiny
520,blue lightbulb,"metal, glass",uniform,"shiny, composite"
521,ernie toy,plastic,pluriform,
522,rose box,paper,pluriform,shiny
523,strawberry can,metal,pluriform,shiny
524,shave brush,"rope, metal",uniform,composite
525,Paper box,paper,pluriform,
526,Christmas snow bowl,plastic,pluriform,shiny
527,brown wooden book,wood,uniform,rough
528,tealight cup,"glass, candle",uniiform,"shiny, composite"
529,elastic box,plastic,pluriform,shiny
530,square keyhanger,"metal, plastic",pluriform,"shiny, composite"
531,bunch of keys,metal,pluriform,shiny
532,colorful wallet,cloth,pluriform,
533,treestump,wood,pluriform,
534,lying angel,pottery,pluriform,shiny
535,apple/pear/leaves,"plastic, cloth",pluriform,composite
536,blue/white candle,"pottery, candle",uniform,composite
537,white bookkeeper,pottery,uniform,
538,red box with two balls,"cloth, metal, glass",pluriform,"shiny, composite"
539,white horse,plasatic,pluriform,
540,apple,plastic,uniform,shiny
541,sesamy street toy,plastic,pluriform,shiny
542,lying toy men,plastic,pluriform,shiny
543,cow,plastic,pluriform,shiny
544,yellow princess,plastic,pluriform,
545,two-headed dragon,plastic,uniform,
546,cow2,pottery,pluriform,shiny
547,building bob,plastic,pluriform,shiny
548,blue rabbit,cloth,pluriform,smooth
549,snake game,"plastic, wood",pluriform,
550,winny the pooh,plastic,pluriform,
551,elephant bear,cloth,pluriform,smooth
552,dizzy brown bear,cloth,pluriform,smooth
553,red toy,wood,pluriform,
554,smurfin,plastic,pluriform,shiny
555,dwarf,cloth,pluriform,
556,Cinderella,plastic,pluriform,shiny
557,Chocolate cookie,food,pluriform,
558,Yellow/white robot,plastic,pluriform,shiny
559,Cow 3,plastic,pluriform,
560,Inkfish,rubber,uniform,rough
561,Road runner,plastic,pluriform,shiny
562,blue/white parrot,plastic,pluriform,shiny
563,orange/purple dragon,plastic,pluriform,
564,small frog,pottery,pluriform,shiny
565,….,,,
566,Bear head/hands,cloth,pluriform,
567,Pear,fruit,pluriform,
568,Golden egg,food,pluriform,shiny
569,Red/pink lying egg,food,pluriform,shiny
570,Blue egg,food,pluriform,shiny
571,Green egg,food,uniform,shiny
572,Dark red egg,food,pluriform,shiny
573,Pink/red egg,food,pluriform,shiny
574,Vitamine C box,plastic,pluriform,
575,Spices box 1,"plastic, metal, glass",pluriform,"shiny, composite"
576,Spices box 2,"plastic, metal, glass",pluriform,"shiny, composite"
577,Spices box 3,"plastic, metal, glass",pluriform,"shiny, composite"
578,Diamond lid,metal,pluriform,
579,Open jam jar (no metal),"paper, glass",pluriform,"shiny, composite"
580,Jam jar 2,"paper, metal, glass",pluriform,"shiny,composite"
581,Jam jar 3,"paper, metal, glass",pluriform,"shiny, composite"
582,Open jam jar,"paper, metal, glass",pluriform,"shiny, composite"
583,Bottle tabasco,"paper, plastic, glass",pluriform,"shiny, composite"
584,Yellow monster stamp,plastic,pluriform,
585,Colored ball,rubber,pluriform,
586,Red/yellow ball,rubber,pluriform,
587,Wooden decoration,wood,pluriform,shiny
588,Unheaded men,plastic,pluriform,
589,Red robot,"plastic, metal",pluriform,"shiny, composite"
590,Spiked green ball,rubber,uniform,
591,purple flute,plastic,uniform,shiny
592,purple pig,plastic,pluriform,
593,brown eland,cloth,pluriform,
594,yellow fingerbear,cloth,pluriform,
595,driving motor,"metal, plastic, wood",uniform,"shiny, composite"
596,wooden block,wood,uniform,
597,yellow/red        wooden block,wood,pluriform,
598,blue wooden block,wood,pluriform,
599,Easter chocolate eggs,plastic,pluriform,shiny
600,Raison box,paper,pluriform,
601,Red object,plastic,pluriform,
602,Green pringles box,"paper, plastic",pluriform,"shiny, composite"
603,Yellow pringles box,"plastic, paper",pluriform,"shiny, composite"
604,Blue nivea crème,plastic,pluriform,
605,Green/white tube,plastic,pluriform,shiny
606,Marmite jar,"paper, metal, glass",pluriform,"shiny, composite"
607,White nivea tube,plastic,pluriform,shiny
608,Thumb-tack box,plastic,pluriform,shiny
609,Red tomato paste,"metal, paper",pluriform,"shiny, composite"
610,Lying girl,"cloth, plastic, rope",pluriform,composite
611,Red/green tomato paste,"metal, paper",pluriform,"shiny, composite"
612,Alarm clock,"meta, plastic",pluriform,"shiny, composite"
613,Fruit drink,"plastic, paper",pluriform,"shiny, composite"
614,Wooden doll,wood,pluriform,
615,Sisi can,metal,pluriform,shiny
616,Orange can,metal,pluriform,shiny
617,Spices box 4,"metal, glass, paper",pluriform,"shiny, composite"
618,Pink/green salmon can,"paper, metal",pluriform,"composite, shiny"
619,Yellow/green tuna can,"metal, paper",pluriform,"composite, shiny"
620,Pink duck,plastic,pluriform,shiny
621,White plug,"metal, plastic",pluriform,composite
622,White plug 2,"metal, plastic",uniform,"composite, shiny"
623,Stone and wire,"stone, wire",uniform,"rough, composite"
624,Yellow soap,plastic,pluriform,"shiny, composite"
625,Zendium toothpaste,plastic,pluriform,shiny
626,Decorated egg,food,pluriform,shiny
627,Baby fruit jar,"glass, metal, paper",pluriform,
628,Drill toy,Rubber,uniform,
629,sterilon bottle,plastic,pluriform,shiny
630,toothpicks,"paper, plastic, glass",pluriform,"shiny, composite"
631,white plug 3,"plastic, metal",uniform,"shiny, composite"
632,blue shampoo,plastic,pluriform,shiny
633,Jodium bottle,plastic,pluriform,shiny
634,Green eyed car,plastic,pluriform,
635,Standing paperclip box,plastic,pluriform,shiny
636,Lying paperclip box,plastic,pluriform,shiny
637,Black pringles,"paper, plastic",pluriform,composite
638,Fruit drink 2,"plastic, paper",pluriform,"shiny, composite"
639,Clock,"metal, glass",pluriform,"shiny, composite"
640,baby fruit jar 2,"paper, metal, glass",pluriform,"composite, shiny"
641,standing raison box,paper,pluriform,
642,stampler,metal,pluriform,shiny
643,dragon stamp,"stone, paper",pluriform,composite
644,red round box,metal,pluriform,shiny
645,white object,stone,uniform,
646,green flower,wood,pluriform,
647,"wooden, red flower",wood,pluriform,
648,fruit mix,"plastic, cloth",pluriform,"composite, shiny"
649,apple,fruit,pluriform,
650,kiwi,fruit,uniform,
651,lemon,fruit,uniform,shiny
652,brown stone,stone,pluriform,"shiny, smooth"
653,fake strawberry 1,plastic,pluriform,shiny
654,fake tomato,pottery,pluriform,
655,fake strawberry 2,plastic,pluriform,
656,fake melon,plastic,pluriform,shiny
657,fake brown orange,plastic,uniform,
658,red stone,stone,pluriform,shiny
659,black/white stone,stone,pluriform,shiny
660,grey stone,stone,pluriform,shiny
661,yellow/red strawberry,plastic,pluriform,rough
662,yellow/green strawberry,plastic,pluriform,shiny
663,cherries,plastic,pluriform,shiny
664,spiked pink ball,plastic,pluriform,spiked
665,cherry,plastic,pluriform,shiny
666,fake pear,plastic,uniform,shiny
667,fake white onion,plastic,uniform,shiny
668,strawberries,plastic,pluriform,shiny
